primary_title,runtime_minutes,genres,averagerating,numvotes,production_budget,worldwide_gross,year,ROI
Unfriended: Dark Web,92,Crime,5.9,13822,1000000,16434588,2018,1543
Unfriended: Dark Web,92,Horror,5.9,13822,1000000,16434588,2018,1543
Unfriended: Dark Web,92,Mystery,5.9,13822,1000000,16434588,2018,1543
Bohemian Rhapsody,134,Biography,8.0,345466,55000000,894985342,2018,1527
Bohemian Rhapsody,134,Drama,8.0,345466,55000000,894985342,2018,1527
Bohemian Rhapsody,134,Music,8.0,345466,55000000,894985342,2018,1527
The Conjuring,112,Horror,7.5,397233,20000000,318000141,2013,1490
The Conjuring,112,Mystery,7.5,397233,20000000,318000141,2013,1490
The Conjuring,112,Thriller,7.5,397233,20000000,318000141,2013,1490
Minions,91,Adventure,6.4,193917,74000000,1160336173,2015,1468
Minions,91,Animation,6.4,193917,74000000,1160336173,2015,1468
Minions,91,Comedy,6.4,193917,74000000,1160336173,2015,1468
Wonder,113,Drama,8.0,111632,20000000,304604712,2017,1423
Wonder,113,Family,8.0,111632,20000000,304604712,2017,1423
The Imitation Game,114,Biography,8.0,620834,15000000,227740463,2014,1418
The Imitation Game,114,Drama,8.0,620834,15000000,227740463,2014,1418
The Imitation Game,114,Thriller,8.0,620834,15000000,227740463,2014,1418
Neighbors,97,Comedy,6.3,266020,18000000,270944428,2014,1405
Like Crazy,86,Drama,6.7,55841,250000,3728400,2011,1391
Like Crazy,86,Romance,6.7,55841,250000,3728400,2011,1391
Boyhood,165,Drama,7.9,315584,4000000,57273049,2014,1332
Fifty Shades of Grey,125,Drama,4.1,279126,40000000,570998101,2015,1327
Fifty Shades of Grey,125,Romance,4.1,279126,40000000,570998101,2015,1327
Fifty Shades of Grey,125,Thriller,4.1,279126,40000000,570998101,2015,1327
Green Book,130,Biography,8.3,204972,23000000,322034439,2018,1300
Green Book,130,Comedy,8.3,204972,23000000,322034439,2018,1300
Green Book,130,Drama,8.3,204972,23000000,322034439,2018,1300
Deadpool,108,Action,8.0,820847,58000000,801025593,2016,1281
Deadpool,108,Adventure,8.0,820847,58000000,801025593,2016,1281
Deadpool,108,Comedy,8.0,820847,58000000,801025593,2016,1281
Despicable Me 3,89,Adventure,6.3,92580,75000000,1034727750,2017,1280
Despicable Me 3,89,Animation,6.3,92580,75000000,1034727750,2017,1280
Despicable Me 3,89,Comedy,6.3,92580,75000000,1034727750,2017,1280
The Boy Next Door,91,Horror,4.7,34816,4000000,53401938,2015,1235
The Boy Next Door,91,Thriller,4.7,34816,4000000,53401938,2015,1235
"Three Billboards Outside Ebbing, Missouri",115,Crime,8.2,344047,12000000,160191915,2017,1235
"Three Billboards Outside Ebbing, Missouri",115,Drama,8.2,344047,12000000,160191915,2017,1235
Beasts of the Southern Wild,93,Adventure,7.3,77440,1800000,23265132,2012,1193
Beasts of the Southern Wild,93,Drama,7.3,77440,1800000,23265132,2012,1193
Beasts of the Southern Wild,93,Fantasy,7.3,77440,1800000,23265132,2012,1193
Kevin Hart: Let Me Explain,75,Comedy,6.8,7880,2500000,32327255,2013,1193
Kevin Hart: Let Me Explain,75,Documentary,6.8,7880,2500000,32327255,2013,1193
Despicable Me 2,98,Adventure,7.4,344230,76000000,975216835,2013,1183
Despicable Me 2,98,Animation,7.4,344230,76000000,975216835,2013,1183
Despicable Me 2,98,Comedy,7.4,344230,76000000,975216835,2013,1183
Us,116,Horror,7.1,102511,20000000,254210310,2019,1171
Us,116,Mystery,7.1,102511,20000000,254210310,2019,1171
Us,116,Thriller,7.1,102511,20000000,254210310,2019,1171
Winchester,99,Biography,5.4,24351,3500000,44378040,2018,1168
Winchester,99,Drama,5.4,24351,3500000,44378040,2018,1168
Winchester,99,Fantasy,5.4,24351,3500000,44378040,2018,1168
Lion,118,Biography,8.1,181601,12000000,149570720,2016,1146
Lion,118,Drama,8.1,181601,12000000,149570720,2016,1146
The Purge: Anarchy,103,Action,6.5,126203,9000000,111534881,2014,1139
The Purge: Anarchy,103,Horror,6.5,126203,9000000,111534881,2014,1139
The Purge: Anarchy,103,Sci-Fi,6.5,126203,9000000,111534881,2014,1139
Glass,129,Drama,6.8,133793,20000000,245303505,2019,1127
Glass,129,Sci-Fi,6.8,133793,20000000,245303505,2019,1127
Glass,129,Thriller,6.8,133793,20000000,245303505,2019,1127
I Can Only Imagine,110,Biography,7.4,11439,7000000,85604221,2018,1123
I Can Only Imagine,110,Drama,7.4,11439,7000000,85604221,2018,1123
I Can Only Imagine,110,Family,7.4,11439,7000000,85604221,2018,1123
Dallas Buyers Club,117,Biography,8.0,402462,5000000,60611845,2013,1112
Dallas Buyers Club,117,Drama,8.0,402462,5000000,60611845,2013,1112
Another Earth,92,Drama,7.0,85839,175000,2102779,2011,1102
Another Earth,92,Romance,7.0,85839,175000,2102779,2011,1102
Another Earth,92,Sci-Fi,7.0,85839,175000,2102779,2011,1102
All You Need Is Love,90,Documentary,6.8,9,300000,3565259,2014,1088
The Purge: Election Year,108,Action,6.0,80254,10000000,118514727,2016,1085
The Purge: Election Year,108,Horror,6.0,80254,10000000,118514727,2016,1085
The Purge: Election Year,108,Sci-Fi,6.0,80254,10000000,118514727,2016,1085
The Secret Life of Pets,87,Adventure,6.5,161997,75000000,886750534,2016,1082
The Secret Life of Pets,87,Animation,6.5,161997,75000000,886750534,2016,1082
The Secret Life of Pets,87,Comedy,6.5,161997,75000000,886750534,2016,1082
Whiplash,106,Drama,8.5,616916,3300000,38969037,2014,1081
Whiplash,106,Music,8.5,616916,3300000,38969037,2014,1081
The Gift,108,Drama,7.1,123834,5000000,58978477,2015,1080
The Gift,108,Mystery,7.1,123834,5000000,58978477,2015,1080
The Gift,108,Thriller,7.1,123834,5000000,58978477,2015,1080
The Fighter,116,Biography,7.8,316539,11000000,129262388,2010,1075
The Fighter,116,Drama,7.8,316539,11000000,129262388,2010,1075
The Fighter,116,Sport,7.8,316539,11000000,129262388,2010,1075
The Sessions,95,Biography,7.2,39731,1000000,11495204,2012,1050
The Sessions,95,Comedy,7.2,39731,1000000,11495204,2012,1050
The Sessions,95,Drama,7.2,39731,1000000,11495204,2012,1050
Five Feet Apart,116,Drama,7.2,10645,7000000,80504421,2019,1050
Five Feet Apart,116,Romance,7.2,10645,7000000,80504421,2019,1050
Lucy,89,Action,6.4,403194,40000000,457507776,2014,1044
Lucy,89,Sci-Fi,6.4,403194,40000000,457507776,2014,1044
Lucy,89,Thriller,6.4,403194,40000000,457507776,2014,1044
Bad Teacher,92,Comedy,5.7,181189,19000000,215448997,2011,1034
Bad Teacher,92,Romance,5.7,181189,19000000,215448997,2011,1034
Monsters,94,Drama,6.4,84332,500000,5639730,2010,1028
Monsters,94,Sci-Fi,6.4,84332,500000,5639730,2010,1028
Monsters,94,Thriller,6.4,84332,500000,5639730,2010,1028
Silver Linings Playbook,122,Comedy,7.7,621018,21000000,236412453,2012,1026
Silver Linings Playbook,122,Drama,7.7,621018,21000000,236412453,2012,1026
Silver Linings Playbook,122,Romance,7.7,621018,21000000,236412453,2012,1026
Ted,106,Comedy,6.9,538367,50000000,556016627,2012,1012
Ted,106,Fantasy,6.9,538367,50000000,556016627,2012,1012
The Big Sick,120,Comedy,7.6,104008,5000000,53972860,2017,979
The Big Sick,120,Drama,7.6,104008,5000000,53972860,2017,979
The Big Sick,120,Romance,7.6,104008,5000000,53972860,2017,979
Jumanji: Welcome to the Jungle,119,Action,7.0,242735,90000000,964496193,2017,972
Jumanji: Welcome to the Jungle,119,Adventure,7.0,242735,90000000,964496193,2017,972
Jumanji: Welcome to the Jungle,119,Comedy,7.0,242735,90000000,964496193,2017,972
Buried,95,Drama,7.0,139426,1987650,21270290,2010,970
Buried,95,Mystery,7.0,139426,1987650,21270290,2010,970
Buried,95,Thriller,7.0,139426,1987650,21270290,2010,970
The First Purge,98,Action,5.1,41741,13000000,136617305,2018,951
The First Purge,98,Horror,5.1,41741,13000000,136617305,2018,951
The First Purge,98,Sci-Fi,5.1,41741,13000000,136617305,2018,951
Me Before You,106,Drama,7.4,174567,20000000,208265198,2016,941
Me Before You,106,Romance,7.4,174567,20000000,208265198,2016,941
The Twilight Saga: Eclipse,124,Adventure,5.0,211733,68000000,706102828,2010,938
The Twilight Saga: Eclipse,124,Drama,5.0,211733,68000000,706102828,2010,938
The Twilight Saga: Eclipse,124,Fantasy,5.0,211733,68000000,706102828,2010,938
Chronicle,84,Drama,7.1,229258,12000000,123681790,2012,931
Chronicle,84,Sci-Fi,7.1,229258,12000000,123681790,2012,931
Chronicle,84,Thriller,7.1,229258,12000000,123681790,2012,931
Kevin Hart: Laugh at My Pain,89,Comedy,7.4,5081,750000,7712436,2011,928
Kevin Hart: Laugh at My Pain,89,Documentary,7.4,5081,750000,7712436,2011,928
Jigsaw,92,Crime,5.8,57184,10000000,102445196,2017,924
Jigsaw,92,Horror,5.8,57184,10000000,102445196,2017,924
Jigsaw,92,Mystery,5.8,57184,10000000,102445196,2017,924
The Maze Runner,113,Action,6.8,387038,34000000,348319861,2014,924
The Maze Runner,113,Mystery,6.8,387038,34000000,348319861,2014,924
The Maze Runner,113,Sci-Fi,6.8,387038,34000000,348319861,2014,924
Meet the Blacks,94,Comedy,5.9,34669,900000,9097072,2016,911
Meet the Blacks,94,Horror,5.9,34669,900000,9097072,2016,911
The Shape of Water,123,Adventure,7.3,308112,19500000,195790794,2017,904
The Shape of Water,123,Drama,7.3,308112,19500000,195790794,2017,904
The Shape of Water,123,Fantasy,7.3,308112,19500000,195790794,2017,904
Pitch Perfect 2,115,Comedy,6.4,130692,29000000,287625468,2015,892
Pitch Perfect 2,115,Music,6.4,130692,29000000,287625468,2015,892
Mama,100,Horror,6.2,158487,15000000,148095566,2013,887
Mama,100,Thriller,6.2,158487,15000000,148095566,2013,887
Hunt for the Wilderpeople,101,Adventure,7.9,87532,2500000,23845533,2016,854
Hunt for the Wilderpeople,101,Comedy,7.9,87532,2500000,23845533,2016,854
Hunt for the Wilderpeople,101,Drama,7.9,87532,2500000,23845533,2016,854
Easy A,92,Comedy,7.1,330125,8000000,76200721,2010,853
Easy A,92,Drama,7.1,330125,8000000,76200721,2010,853
Easy A,92,Romance,7.1,330125,8000000,76200721,2010,853
Unsane,98,Drama,6.4,32049,1500000,14244931,2018,850
Unsane,98,Horror,6.4,32049,1500000,14244931,2018,850
Unsane,98,Mystery,6.4,32049,1500000,14244931,2018,850
Think Like a Man,122,Comedy,6.6,41043,12000000,113373764,2012,845
Think Like a Man,122,Romance,6.6,41043,12000000,113373764,2012,845
American Sniper,133,Action,7.3,401915,58000000,547326372,2014,844
American Sniper,133,Biography,7.3,401915,58000000,547326372,2014,844
American Sniper,133,Drama,7.3,401915,58000000,547326372,2014,844
Bajrangi Bhaijaan,163,Action,8.0,63747,13000000,121778347,2015,837
Bajrangi Bhaijaan,163,Comedy,8.0,63747,13000000,121778347,2015,837
Bajrangi Bhaijaan,163,Drama,8.0,63747,13000000,121778347,2015,837
Hidden Figures,127,Biography,7.8,171131,25000000,231771716,2016,827
Hidden Figures,127,Drama,7.8,171131,25000000,231771716,2016,827
Hidden Figures,127,History,7.8,171131,25000000,231771716,2016,827
Ice Age: Continental Drift,88,Adventure,6.6,175601,95000000,879765137,2012,826
Ice Age: Continental Drift,88,Animation,6.6,175601,95000000,879765137,2012,826
Ice Age: Continental Drift,88,Comedy,6.6,175601,95000000,879765137,2012,826
Manchester by the Sea,137,Drama,7.8,214557,8500000,77733867,2016,815
Dirty Grandpa,102,Comedy,5.9,101393,11500000,105078449,2016,814
The Shallows,86,Drama,6.3,106927,13000000,118763442,2016,814
The Shallows,86,Horror,6.3,106927,13000000,118763442,2016,814
The Shallows,86,Thriller,6.3,106927,13000000,118763442,2016,814
Book Club,104,Comedy,6.1,18728,10000000,91113683,2018,811
Book Club,104,Drama,6.1,18728,10000000,91113683,2018,811
Book Club,104,Romance,6.1,18728,10000000,91113683,2018,811
Ouija: Origin of Evil,99,Drama,6.1,47099,9000000,81831866,2016,809
Ouija: Origin of Evil,99,Horror,6.1,47099,9000000,81831866,2016,809
Ouija: Origin of Evil,99,Mystery,6.1,47099,9000000,81831866,2016,809
The Kids Are All Right,106,Comedy,7.0,120656,4000000,36275469,2010,807
The Kids Are All Right,106,Drama,7.0,120656,4000000,36275469,2010,807
The Kids Are All Right,106,Romance,7.0,120656,4000000,36275469,2010,807
Bad Moms,100,Comedy,6.2,100952,20000000,180998716,2016,805
12 Years a Slave,134,Biography,8.1,577301,20000000,181025343,2013,805
12 Years a Slave,134,Drama,8.1,577301,20000000,181025343,2013,805
12 Years a Slave,134,History,8.1,577301,20000000,181025343,2013,805
The Second Best Exotic Marigold Hotel,122,Comedy,6.6,28931,10000000,90384306,2015,804
The Second Best Exotic Marigold Hotel,122,Drama,6.6,28931,10000000,90384306,2015,804
Bridesmaids,125,Comedy,6.8,249501,32500000,289632023,2011,791
Bridesmaids,125,Romance,6.8,249501,32500000,289632023,2011,791
The Karate Kid,140,Action,6.2,146401,40000000,351774938,2010,779
The Karate Kid,140,Drama,6.2,146401,40000000,351774938,2010,779
The Karate Kid,140,Family,6.2,146401,40000000,351774938,2010,779
The Descendants,115,Comedy,7.3,223464,20000000,175507800,2011,778
The Descendants,115,Drama,7.3,223464,20000000,175507800,2011,778
Baahubali 2: The Conclusion,167,Action,8.3,65656,30000000,263502914,2017,778
Baahubali 2: The Conclusion,167,Drama,8.3,65656,30000000,263502914,2017,778
The Woman in Black,95,Drama,6.4,165357,15000000,128955898,2012,760
The Woman in Black,95,Fantasy,6.4,165357,15000000,128955898,2012,760
The Woman in Black,95,Horror,6.4,165357,15000000,128955898,2012,760
Project X,88,Comedy,6.7,177782,12000000,103028188,2012,759
Jackass 3D,95,Action,7.0,53289,20000000,171685793,2010,758
Jackass 3D,95,Comedy,7.0,53289,20000000,171685793,2010,758
Jackass 3D,95,Documentary,7.0,53289,20000000,171685793,2010,758
Breaking In,88,Action,5.4,10154,6000000,51411620,2018,757
Breaking In,88,Crime,5.4,10154,6000000,51411620,2018,757
Breaking In,88,Drama,5.4,10154,6000000,51411620,2018,757
No Escape,103,Action,6.8,70222,5000000,42844516,2015,757
No Escape,103,Thriller,6.8,70222,5000000,42844516,2015,757
Magic Mike XXL,115,Comedy,5.6,48497,14500000,123660597,2015,753
Magic Mike XXL,115,Drama,5.6,48497,14500000,123660597,2015,753
Magic Mike XXL,115,Music,5.6,48497,14500000,123660597,2015,753
The Help,146,Drama,8.1,392699,25000000,213120004,2011,752
Tiny Furniture,98,Comedy,6.2,13397,50000,424149,2010,748
Tiny Furniture,98,Drama,6.2,13397,50000,424149,2010,748
Tiny Furniture,98,Romance,6.2,13397,50000,424149,2010,748
Frozen,102,Adventure,7.5,516998,150000000,1272469910,2013,748
Frozen,102,Animation,7.5,516998,150000000,1272469910,2013,748
Frozen,102,Comedy,7.5,516998,150000000,1272469910,2013,748
The Hunger Games,142,Action,7.2,795227,80000000,677923379,2012,747
The Hunger Games,142,Adventure,7.2,795227,80000000,677923379,2012,747
The Hunger Games,142,Sci-Fi,7.2,795227,80000000,677923379,2012,747
Sing,108,Animation,7.1,115951,75000000,634454789,2016,746
Sing,108,Comedy,7.1,115951,75000000,634454789,2016,746
Sing,108,Family,7.1,115951,75000000,634454789,2016,746
Taken 2,92,Action,6.3,273106,45000000,377807404,2012,740
Taken 2,92,Thriller,6.3,273106,45000000,377807404,2012,740
"As Above, So Below",93,Adventure,6.2,66892,5000000,41824066,2014,736
"As Above, So Below",93,Horror,6.2,66892,5000000,41824066,2014,736
"As Above, So Below",93,Mystery,6.2,66892,5000000,41824066,2014,736
Weekend,97,Drama,7.6,25424,190000,1577585,2011,730
Weekend,97,Romance,7.6,25424,190000,1577585,2011,730
Weekend,121,Action,4.0,583,190000,1577585,2011,730
Weekend,121,Comedy,4.0,583,190000,1577585,2011,730
Weekend,121,Crime,4.0,583,190000,1577585,2011,730
Philomena,98,Biography,7.6,88704,12000000,98963392,2013,725
Philomena,98,Comedy,7.6,88704,12000000,98963392,2013,725
Philomena,98,Drama,7.6,88704,12000000,98963392,2013,725
The Theory of Everything,123,Biography,7.7,361534,15000000,123327692,2014,722
The Theory of Everything,123,Drama,7.7,361534,15000000,123327692,2014,722
The Theory of Everything,123,Romance,7.7,361534,15000000,123327692,2014,722
Hotel Transylvania 3: Summer Vacation,97,Adventure,6.3,42299,65000000,527079962,2018,711
Hotel Transylvania 3: Summer Vacation,97,Animation,6.3,42299,65000000,527079962,2018,711
Hotel Transylvania 3: Summer Vacation,97,Comedy,6.3,42299,65000000,527079962,2018,711
Winter's Bone,100,Drama,7.2,127751,2000000,16131551,2010,707
Winter's Bone,100,Mystery,7.2,127751,2000000,16131551,2010,707
The Artist,100,Thriller,6.8,6,16000000,128256712,2011,702
The Artist,100,Comedy,7.9,217184,16000000,128256712,2011,702
The Artist,100,Drama,7.9,217184,16000000,128256712,2011,702
The Artist,100,Romance,7.9,217184,16000000,128256712,2011,702
Furious 7,137,Action,7.2,335074,190000000,1518722794,2015,699
Furious 7,137,Crime,7.2,335074,190000000,1518722794,2015,699
Furious 7,137,Thriller,7.2,335074,190000000,1518722794,2015,699
Crazy Rich Asians,120,Comedy,7.0,96617,30000000,238099711,2018,694
Crazy Rich Asians,120,Romance,7.0,96617,30000000,238099711,2018,694
Dark Skies,97,Horror,6.3,65754,3500000,27704111,2013,692
Dark Skies,97,Sci-Fi,6.3,65754,3500000,27704111,2013,692
Dark Skies,97,Thriller,6.3,65754,3500000,27704111,2013,692
Despicable Me,95,Animation,7.7,464511,69000000,543464573,2010,688
Despicable Me,95,Comedy,7.7,464511,69000000,543464573,2010,688
Despicable Me,95,Family,7.7,464511,69000000,543464573,2010,688
Beauty and the Beast,129,Family,7.2,238325,160000000,1259199706,2017,687
Beauty and the Beast,129,Fantasy,7.2,238325,160000000,1259199706,2017,687
Beauty and the Beast,129,Musical,7.2,238325,160000000,1259199706,2017,687
Lady Bird,94,Comedy,7.4,177677,10000000,78610769,2017,686
Lady Bird,94,Drama,7.4,177677,10000000,78610769,2017,686
Paranormal Activity: The Ghost Dimension,88,Horror,4.6,22361,10000000,77959374,2015,680
Paranormal Activity: The Ghost Dimension,88,Mystery,4.6,22361,10000000,77959374,2015,680
Paranormal Activity: The Ghost Dimension,88,Thriller,4.6,22361,10000000,77959374,2015,680
Before Midnight,109,Drama,7.9,123107,3000000,23251930,2013,675
Before Midnight,109,Romance,7.9,123107,3000000,23251930,2013,675
Jurassic World: Fallen Kingdom,128,Action,6.2,219125,170000000,1305772799,2018,668
Jurassic World: Fallen Kingdom,128,Adventure,6.2,219125,170000000,1305772799,2018,668
Jurassic World: Fallen Kingdom,128,Sci-Fi,6.2,219125,170000000,1305772799,2018,668
The Lazarus Effect,83,Horror,5.2,37675,5000000,38359310,2015,667
