primary_title,runtime_minutes,genres,averagerating,numvotes,production_budget,worldwide_gross,year,ROI
The Hobbit: An Unexpected Journey,169,Fantasy,7.9,719629,250000000,1017003568,2012,307
xXx: Return of Xander Cage,107,Action,5.2,77976,85000000,345033359,2017,306
xXx: Return of Xander Cage,107,Adventure,5.2,77976,85000000,345033359,2017,306
xXx: Return of Xander Cage,107,Thriller,5.2,77976,85000000,345033359,2017,306
The Hunger Games: Mockingjay - Part 2,137,Action,6.6,252384,160000000,648986787,2015,306
The Hunger Games: Mockingjay - Part 2,137,Adventure,6.6,252384,160000000,648986787,2015,306
The Hunger Games: Mockingjay - Part 2,137,Sci-Fi,6.6,252384,160000000,648986787,2015,306
Bridge of Spies,142,Drama,7.6,263004,40000000,162498338,2015,306
Bridge of Spies,142,History,7.6,263004,40000000,162498338,2015,306
Bridge of Spies,142,Thriller,7.6,263004,40000000,162498338,2015,306
Interstellar,169,Adventure,8.6,1299334,165000000,666379375,2014,304
Interstellar,169,Drama,8.6,1299334,165000000,666379375,2014,304
Interstellar,169,Sci-Fi,8.6,1299334,165000000,666379375,2014,304
Journey 2: The Mysterious Island,94,Action,5.8,83507,79000000,318146162,2012,303
Journey 2: The Mysterious Island,94,Adventure,5.8,83507,79000000,318146162,2012,303
Journey 2: The Mysterious Island,94,Comedy,5.8,83507,79000000,318146162,2012,303
Last Vegas,105,Comedy,6.6,121409,28000000,112914167,2013,303
Last Vegas,105,Drama,6.6,121409,28000000,112914167,2013,303
How to Train Your Dragon: The Hidden World,104,Action,7.6,60769,129000000,519258283,2019,303
How to Train Your Dragon: The Hidden World,104,Adventure,7.6,60769,129000000,519258283,2019,303
How to Train Your Dragon: The Hidden World,104,Animation,7.6,60769,129000000,519258283,2019,303
Trainwreck,125,Comedy,6.2,121860,35000000,141123897,2015,303
Trainwreck,125,Drama,6.2,121860,35000000,141123897,2015,303
Trainwreck,125,Romance,6.2,121860,35000000,141123897,2015,303
Second Act,103,Comedy,5.8,13109,15700000,63288854,2018,303
Second Act,103,Drama,5.8,13109,15700000,63288854,2018,303
Second Act,103,Romance,5.8,13109,15700000,63288854,2018,303
The Foreigner,113,Action,7.0,81288,35000000,140783360,2017,302
The Foreigner,113,Thriller,7.0,81288,35000000,140783360,2017,302
Captain Phillips,134,Biography,7.8,387402,55000000,220648184,2013,301
Captain Phillips,134,Drama,7.8,387402,55000000,220648184,2013,301
Captain Phillips,134,Thriller,7.8,387402,55000000,220648184,2013,301
The Book Thief,131,Drama,7.6,119023,19000000,76086711,2013,300
The Book Thief,131,War,7.6,119023,19000000,76086711,2013,300
Ant-Man,117,Action,7.3,501213,130000000,518858449,2015,299
Ant-Man,117,Adventure,7.3,501213,130000000,518858449,2015,299
Ant-Man,117,Comedy,7.3,501213,130000000,518858449,2015,299
Sully,96,Biography,7.5,202718,60000000,238524556,2016,298
Sully,96,Drama,7.5,202718,60000000,238524556,2016,298
Mustang,97,Drama,7.6,30899,1400000,5552584,2015,297
The Revenant,156,Action,8.0,621193,135000000,532938302,2015,295
The Revenant,156,Adventure,8.0,621193,135000000,532938302,2015,295
The Revenant,156,Biography,8.0,621193,135000000,532938302,2015,295
Clash of the Titans,106,Action,5.8,256176,125000000,493214888,2010,295
Clash of the Titans,106,Adventure,5.8,256176,125000000,493214888,2010,295
Clash of the Titans,106,Fantasy,5.8,256176,125000000,493214888,2010,295
Big Hero 6,102,Action,7.8,371204,165000000,652127828,2014,295
Big Hero 6,102,Adventure,7.8,371204,165000000,652127828,2014,295
Big Hero 6,102,Animation,7.8,371204,165000000,652127828,2014,295
The Dark Knight Rises,164,Action,8.4,1387769,275000000,1084439099,2012,294
The Dark Knight Rises,164,Thriller,8.4,1387769,275000000,1084439099,2012,294
It Comes at Night,91,Horror,6.2,69039,5000000,19720203,2017,294
It Comes at Night,91,Mystery,6.2,69039,5000000,19720203,2017,294
Contraband,109,Action,6.5,111709,25000000,98406855,2012,294
Contraband,109,Crime,6.5,111709,25000000,98406855,2012,294
Contraband,109,Drama,6.5,111709,25000000,98406855,2012,294
One Day,107,Drama,7.0,128094,15000000,59168692,2011,294
One Day,107,Romance,7.0,128094,15000000,59168692,2011,294
Kingsman: The Golden Circle,141,Action,6.8,230797,104000000,408803696,2017,293
Kingsman: The Golden Circle,141,Adventure,6.8,230797,104000000,408803696,2017,293
Kingsman: The Golden Circle,141,Comedy,6.8,230797,104000000,408803696,2017,293
Dumb and Dumber To,109,Adventure,5.6,118646,40000000,156553592,2014,291
Dumb and Dumber To,109,Comedy,5.6,118646,40000000,156553592,2014,291
The Wolf of Wall Street,180,Biography,8.2,1035358,100000000,389870414,2013,290
The Wolf of Wall Street,180,Crime,8.2,1035358,100000000,389870414,2013,290
The Wolf of Wall Street,180,Drama,8.2,1035358,100000000,389870414,2013,290
Inside Job,109,Crime,8.3,65304,2000000,7799257,2010,290
Inside Job,109,Documentary,8.3,65304,2000000,7799257,2010,290
Blair Witch,89,Horror,5.0,36867,10000000,38985577,2016,290
Blair Witch,89,Mystery,5.0,36867,10000000,38985577,2016,290
Blair Witch,89,Thriller,5.0,36867,10000000,38985577,2016,290
Tinker Tailor Soldier Spy,122,Drama,7.1,174890,21000000,81452811,2011,288
Tinker Tailor Soldier Spy,122,Mystery,7.1,174890,21000000,81452811,2011,288
Tinker Tailor Soldier Spy,122,Thriller,7.1,174890,21000000,81452811,2011,288
Teenage Mutant Ninja Turtles,101,Action,5.8,192220,125000000,485004754,2014,288
Teenage Mutant Ninja Turtles,101,Adventure,5.8,192220,125000000,485004754,2014,288
Teenage Mutant Ninja Turtles,101,Comedy,5.8,192220,125000000,485004754,2014,288
About Last Night,100,Comedy,6.1,21078,13000000,50445860,2014,288
About Last Night,100,Romance,6.1,21078,13000000,50445860,2014,288
Final Destination 5,92,Horror,5.9,98061,40000000,155011165,2011,288
The Lego Batman Movie,104,Action,7.3,116433,80000000,310660018,2017,288
The Lego Batman Movie,104,Animation,7.3,116433,80000000,310660018,2017,288
The Lego Batman Movie,104,Comedy,7.3,116433,80000000,310660018,2017,288
The Lucky One,101,Drama,6.5,94359,25000000,96633833,2012,287
The Lucky One,101,Romance,6.5,94359,25000000,96633833,2012,287
The Girl on the Train,112,Crime,6.5,150977,45000000,174278214,2016,287
The Girl on the Train,112,Drama,6.5,150977,45000000,174278214,2016,287
The Girl on the Train,112,Mystery,6.5,150977,45000000,174278214,2016,287
Snitch,112,Action,6.5,78142,15000000,57907734,2013,286
Snitch,112,Drama,6.5,78142,15000000,57907734,2013,286
Snitch,112,Thriller,6.5,78142,15000000,57907734,2013,286
Ready Player One,140,Action,7.5,301660,150000000,579290136,2018,286
Ready Player One,140,Adventure,7.5,301660,150000000,579290136,2018,286
Ready Player One,140,Sci-Fi,7.5,301660,150000000,579290136,2018,286
The Hobbit: The Desolation of Smaug,161,Adventure,7.8,565563,250000000,960366855,2013,284
The Hobbit: The Desolation of Smaug,161,Fantasy,7.8,565563,250000000,960366855,2013,284
End of Watch,109,Action,7.6,211308,15000000,57586606,2012,284
End of Watch,109,Crime,7.6,211308,15000000,57586606,2012,284
End of Watch,109,Drama,7.6,211308,15000000,57586606,2012,284
Warm Bodies,98,Comedy,6.9,208709,30000000,115121608,2013,284
Warm Bodies,98,Horror,6.9,208709,30000000,115121608,2013,284
Warm Bodies,98,Romance,6.9,208709,30000000,115121608,2013,284
Ice Age: Collision Course,94,Adventure,5.7,48932,105000000,402156682,2016,283
Ice Age: Collision Course,94,Animation,5.7,48932,105000000,402156682,2016,283
Ice Age: Collision Course,94,Comedy,5.7,48932,105000000,402156682,2016,283
The Accountant,128,Action,7.3,233022,40000000,152962083,2016,282
The Accountant,128,Crime,7.3,233022,40000000,152962083,2016,282
The Accountant,128,Drama,7.3,233022,40000000,152962083,2016,282
Into the Woods,125,Adventure,6.0,123577,56200000,213116401,2014,279
Into the Woods,125,Comedy,6.0,123577,56200000,213116401,2014,279
Into the Woods,125,Drama,6.0,123577,56200000,213116401,2014,279
Rio 2,101,Adventure,6.3,72209,130000000,492846291,2014,279
Rio 2,101,Animation,6.3,72209,130000000,492846291,2014,279
Rio 2,101,Comedy,6.3,72209,130000000,492846291,2014,279
Amour,127,Drama,7.9,84960,9700000,36787044,2012,279
Amour,127,Romance,7.9,84960,9700000,36787044,2012,279
Before I Fall,98,Drama,6.4,39282,5000000,18945682,2017,279
Before I Fall,98,Fantasy,6.4,39282,5000000,18945682,2017,279
Before I Fall,98,Mystery,6.4,39282,5000000,18945682,2017,279
The Hobbit: The Battle of the Five Armies,144,Adventure,7.4,438621,250000000,945577621,2014,278
The Hobbit: The Battle of the Five Armies,144,Fantasy,7.4,438621,250000000,945577621,2014,278
Lone Survivor,121,Action,7.5,246641,40000000,149804632,2013,275
Lone Survivor,121,Biography,7.5,246641,40000000,149804632,2013,275
Lone Survivor,121,Drama,7.5,246641,40000000,149804632,2013,275
The Babadook,94,Drama,6.8,171411,2000000,7482387,2014,274
The Babadook,94,Horror,6.8,171411,2000000,7482387,2014,274
X-Men: Days of Future Past,132,Action,8.0,620079,200000000,747862775,2014,274
X-Men: Days of Future Past,132,Adventure,8.0,620079,200000000,747862775,2014,274
X-Men: Days of Future Past,132,Sci-Fi,8.0,620079,200000000,747862775,2014,274
Shutter Island,138,Mystery,8.1,1005960,80000000,299461782,2010,274
Shutter Island,138,Thriller,8.1,1005960,80000000,299461782,2010,274
Monsters University,104,Adventure,7.3,291887,200000000,743588329,2013,272
Monsters University,104,Animation,7.3,291887,200000000,743588329,2013,272
Monsters University,104,Comedy,7.3,291887,200000000,743588329,2013,272
Machete,105,Action,6.6,182320,12500000,46370970,2010,271
Machete,105,Crime,6.6,182320,12500000,46370970,2010,271
Machete,105,Thriller,6.6,182320,12500000,46370970,2010,271
Resident Evil: Retribution,95,Action,5.4,125191,65000000,240647629,2012,270
Resident Evil: Retribution,95,Horror,5.4,125191,65000000,240647629,2012,270
Resident Evil: Retribution,95,Sci-Fi,5.4,125191,65000000,240647629,2012,270
Kung Fu Panda 3,95,Action,7.1,116166,140000000,517599142,2016,270
Kung Fu Panda 3,95,Adventure,7.1,116166,140000000,517599142,2016,270
Kung Fu Panda 3,95,Animation,7.1,116166,140000000,517599142,2016,270
Johnny English Reborn,101,Action,6.3,110824,45000000,164640401,2011,266
Johnny English Reborn,101,Adventure,6.3,110824,45000000,164640401,2011,266
Johnny English Reborn,101,Comedy,6.3,110824,45000000,164640401,2011,266
Now You See Me 2,129,Action,6.5,216219,90000000,328325007,2016,265
Now You See Me 2,129,Adventure,6.5,216219,90000000,328325007,2016,265
Now You See Me 2,129,Comedy,6.5,216219,90000000,328325007,2016,265
Iron Man 2,124,Action,7.0,657690,170000000,621156389,2010,265
Iron Man 2,124,Adventure,7.0,657690,170000000,621156389,2010,265
Iron Man 2,124,Sci-Fi,7.0,657690,170000000,621156389,2010,265
Sanctum,108,Adventure,5.9,51318,30000000,108957098,2011,263
Sanctum,108,Drama,5.9,51318,30000000,108957098,2011,263
Sanctum,108,Thriller,5.9,51318,30000000,108957098,2011,263
Carol,118,Drama,7.2,100680,11800000,42843521,2015,263
Carol,118,Romance,7.2,100680,11800000,42843521,2015,263
Grown Ups,102,Comedy,6.0,210377,75000000,272223430,2010,263
The Wolverine,126,Action,6.7,401286,115000000,416456852,2013,262
The Wolverine,126,Adventure,6.7,401286,115000000,416456852,2013,262
The Wolverine,126,Sci-Fi,6.7,401286,115000000,416456852,2013,262
Jack Reacher,130,Action,7.0,284547,60000000,217370736,2012,262
Jack Reacher,130,Crime,7.0,284547,60000000,217370736,2012,262
Jack Reacher,130,Thriller,7.0,284547,60000000,217370736,2012,262
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,Comedy,6.2,37325,28000000,101379287,2014,262
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,Family,6.2,37325,28000000,101379287,2014,262
Posledniy bogatyr,114,Action,6.6,1853,8500000,30700192,2017,261
Posledniy bogatyr,114,Adventure,6.6,1853,8500000,30700192,2017,261
Posledniy bogatyr,114,Comedy,6.6,1853,8500000,30700192,2017,261
The Post,116,Biography,7.2,108017,50000000,179748880,2017,259
The Post,116,Drama,7.2,108017,50000000,179748880,2017,259
The Post,116,History,7.2,108017,50000000,179748880,2017,259
The Muppets,103,Adventure,7.1,82752,45000000,160971922,2011,258
The Muppets,103,Comedy,7.1,82752,45000000,160971922,2011,258
The Muppets,103,Family,7.1,82752,45000000,160971922,2011,258
Rampage,107,Action,6.1,115891,120000000,428056280,2018,257
Rampage,107,Adventure,6.1,115891,120000000,428056280,2018,257
Rampage,107,Sci-Fi,6.1,115891,120000000,428056280,2018,257
Night School,111,Comedy,5.6,23501,29000000,103008792,2018,255
The Amazing Spider-Man 2,142,Action,6.6,388363,200000000,708996336,2014,254
The Amazing Spider-Man 2,142,Adventure,6.6,388363,200000000,708996336,2014,254
The Amazing Spider-Man 2,142,Sci-Fi,6.6,388363,200000000,708996336,2014,254
Remember Me,113,Drama,7.1,129443,16000000,56506120,2010,253
Remember Me,113,Romance,7.1,129443,16000000,56506120,2010,253
The Guard,96,Comedy,7.3,75183,6000000,21197454,2011,253
The Guard,96,Crime,7.3,75183,6000000,21197454,2011,253
The Guard,96,Thriller,7.3,75183,6000000,21197454,2011,253
Sisters,118,Comedy,6.0,58994,30000000,106030660,2015,253
Nerve,96,Action,6.5,102782,20000000,70652284,2016,253
Nerve,96,Adventure,6.5,102782,20000000,70652284,2016,253
Nerve,96,Crime,6.5,102782,20000000,70652284,2016,253
Cloudy with a Chance of Meatballs 2,95,Adventure,6.4,81010,78000000,274392649,2013,252
Cloudy with a Chance of Meatballs 2,95,Animation,6.4,81010,78000000,274392649,2013,252
Cloudy with a Chance of Meatballs 2,95,Comedy,6.4,81010,78000000,274392649,2013,252
The Equalizer,132,Action,7.2,302302,55000000,192903624,2014,251
The Equalizer,132,Crime,7.2,302302,55000000,192903624,2014,251
The Equalizer,132,Thriller,7.2,302302,55000000,192903624,2014,251
Diary of a Wimpy Kid: Dog Days,94,Comedy,6.3,19571,22000000,77229695,2012,251
Diary of a Wimpy Kid: Dog Days,94,Family,6.3,19571,22000000,77229695,2012,251
Addicted,106,Drama,5.2,7640,5000000,17499242,2014,250
Addicted,106,Thriller,5.2,7640,5000000,17499242,2014,250
What Men Want,117,Comedy,4.9,10141,20000000,69911903,2019,250
What Men Want,117,Fantasy,4.9,10141,20000000,69911903,2019,250
What Men Want,117,Romance,4.9,10141,20000000,69911903,2019,250
Wild,115,Adventure,7.1,110138,15000000,52460543,2014,250
Wild,115,Biography,7.1,110138,15000000,52460543,2014,250
Wild,115,Drama,7.1,110138,15000000,52460543,2014,250
Piranha 3D,88,Comedy,5.4,81327,24000000,83660160,2010,249
Piranha 3D,88,Horror,5.4,81327,24000000,83660160,2010,249
The Wedding Ringer,101,Comedy,6.7,66893,23000000,80171596,2015,249
Kick-Ass,117,Action,7.6,497363,28000000,97531134,2010,248
Kick-Ass,117,Comedy,7.6,497363,28000000,97531134,2010,248
Batman v Superman: Dawn of Justice,151,Action,6.5,576909,250000000,867500281,2016,247
Batman v Superman: Dawn of Justice,151,Adventure,6.5,576909,250000000,867500281,2016,247
Batman v Superman: Dawn of Justice,151,Fantasy,6.5,576909,250000000,867500281,2016,247
Jason Bourne,123,Action,6.6,190596,120000000,416168316,2016,247
Jason Bourne,123,Thriller,6.6,190596,120000000,416168316,2016,247
Money Monster,98,Crime,6.5,86607,27000000,93466095,2016,246
Money Monster,98,Drama,6.5,86607,27000000,93466095,2016,246
Money Monster,98,Thriller,6.5,86607,27000000,93466095,2016,246
To Rome with Love,112,Comedy,6.3,79381,21500000,74326015,2012,246
To Rome with Love,112,Music,6.3,79381,21500000,74326015,2012,246
To Rome with Love,112,Romance,6.3,79381,21500000,74326015,2012,246
The Amazing Spider-Man,136,Action,7.0,525632,220000000,757890267,2012,244
The Amazing Spider-Man,136,Adventure,7.0,525632,220000000,757890267,2012,244
The Amazing Spider-Man,136,Sci-Fi,7.0,525632,220000000,757890267,2012,244
Anchorman 2: The Legend Continues,119,Comedy,6.3,156116,50000000,172185754,2013,244
Eat Pray Love,133,Drama,5.8,77709,60000000,206598789,2010,244
Eat Pray Love,133,Romance,5.8,77709,60000000,206598789,2010,244
Pirates of the Caribbean: Dead Men Tell No Tales,129,Action,6.6,228592,230000000,788241137,2017,243
Pirates of the Caribbean: Dead Men Tell No Tales,129,Adventure,6.6,228592,230000000,788241137,2017,243
Pirates of the Caribbean: Dead Men Tell No Tales,129,Fantasy,6.6,228592,230000000,788241137,2017,243
My Week with Marilyn,99,Biography,7.0,79337,10000000,34240572,2011,242
My Week with Marilyn,99,Drama,7.0,79337,10000000,34240572,2011,242
The Mule,116,Crime,7.1,58955,50000000,170857676,2018,242
The Mule,116,Drama,7.1,58955,50000000,170857676,2018,242
The Mule,116,Thriller,7.1,58955,50000000,170857676,2018,242
Unknown,113,Action,6.9,235167,40000000,136123083,2011,240
Unknown,113,Mystery,6.9,235167,40000000,136123083,2011,240
Unknown,113,Thriller,6.9,235167,40000000,136123083,2011,240
Everest,121,Action,7.1,181133,65000000,221297061,2015,240
Everest,121,Adventure,7.1,181133,65000000,221297061,2015,240
Everest,121,Biography,7.1,181133,65000000,221297061,2015,240
Aladdin,128,Adventure,7.4,57549,182000000,619234314,2019,240
Aladdin,128,Comedy,7.4,57549,182000000,619234314,2019,240
Aladdin,128,Family,7.4,57549,182000000,619234314,2019,240
The American,105,Crime,6.3,86863,20000000,67950723,2010,240
The American,105,Drama,6.3,86863,20000000,67950723,2010,240
The American,105,Thriller,6.3,86863,20000000,67950723,2010,240
The Ides of March,101,Drama,7.1,207417,23000000,77735925,2011,238
The Ides of March,101,Thriller,7.1,207417,23000000,77735925,2011,238
A Nightmare on Elm Street,95,Crime,5.2,85497,35000000,117729621,2010,236
A Nightmare on Elm Street,95,Drama,5.2,85497,35000000,117729621,2010,236
A Nightmare on Elm Street,95,Horror,5.2,85497,35000000,117729621,2010,236
Safe Haven,115,Drama,6.7,97055,28000000,94050951,2013,236
Safe Haven,115,Romance,6.7,97055,28000000,94050951,2013,236
Safe Haven,115,Thriller,6.7,97055,28000000,94050951,2013,236
127 Hours,94,Adventure,7.6,323949,18000000,60217171,2010,235
127 Hours,94,Biography,7.6,323949,18000000,60217171,2010,235
127 Hours,94,Drama,7.6,323949,18000000,60217171,2010,235
The Perfect Guy,100,Crime,5.6,8998,18000000,60278166,2015,235
The Perfect Guy,100,Drama,5.6,8998,18000000,60278166,2015,235
The Perfect Guy,100,Horror,5.6,8998,18000000,60278166,2015,235
Captain Underpants: The First Epic Movie,89,Action,6.2,21903,38000000,126577874,2017,233
Captain Underpants: The First Epic Movie,89,Animation,6.2,21903,38000000,126577874,2017,233
Captain Underpants: The First Epic Movie,89,Comedy,6.2,21903,38000000,126577874,2017,233
Dunkirk,106,Action,7.9,466580,150000000,499837368,2017,233
Dunkirk,106,Drama,7.9,466580,150000000,499837368,2017,233
Dunkirk,106,History,7.9,466580,150000000,499837368,2017,233
Obvious Child,84,Comedy,6.8,21536,1000000,3324070,2014,232
Obvious Child,84,Drama,6.8,21536,1000000,3324070,2014,232
Obvious Child,84,Romance,6.8,21536,1000000,3324070,2014,232
Rings,102,Drama,4.5,34151,25000000,82917283,2017,232
Rings,102,Horror,4.5,34151,25000000,82917283,2017,232
Rings,102,Mystery,4.5,34151,25000000,82917283,2017,232
Godzilla,123,Action,6.4,350687,160000000,529076069,2014,231
Godzilla,123,Adventure,6.4,350687,160000000,529076069,2014,231
Godzilla,123,Sci-Fi,6.4,350687,160000000,529076069,2014,231
A Good Day to Die Hard,98,Action,5.3,188383,92000000,304249198,2013,231
A Good Day to Die Hard,98,Thriller,5.3,188383,92000000,304249198,2013,231
Vacation,99,Adventure,6.1,87582,31000000,102306500,2015,230
Vacation,99,Comedy,6.1,87582,31000000,102306500,2015,230
The Prodigy,92,Horror,5.9,11456,6000000,19789712,2019,230
The Prodigy,92,Thriller,5.9,11456,6000000,19789712,2019,230
Sea Rex 3D: Journey to a Prehistoric World,41,Documentary,6.9,364,5000000,16515203,2010,230
Hell Fest,89,Horror,5.5,8662,5500000,18119231,2018,229
Smurfs: The Lost Village,90,Adventure,6.0,15612,60000000,197578586,2017,229
Smurfs: The Lost Village,90,Animation,6.0,15612,60000000,197578586,2017,229
Smurfs: The Lost Village,90,Comedy,6.0,15612,60000000,197578586,2017,229
Saving Mr. Banks,125,Biography,7.5,140678,35000000,114962525,2013,228
Saving Mr. Banks,125,Comedy,7.5,140678,35000000,114962525,2013,228
Saving Mr. Banks,125,Drama,7.5,140678,35000000,114962525,2013,228
Going in Style,96,Comedy,6.6,66418,24000000,78672579,2017,228
Going in Style,96,Crime,6.6,66418,24000000,78672579,2017,228
The Roommate,91,Drama,4.9,33062,16000000,52545707,2011,228
The Roommate,91,Thriller,4.9,33062,16000000,52545707,2011,228
Atomic Blonde,115,Action,6.7,150407,30000000,98345423,2017,228
Atomic Blonde,115,Mystery,6.7,150407,30000000,98345423,2017,228
Atomic Blonde,115,Thriller,6.7,150407,30000000,98345423,2017,228
The Expendables,103,Action,6.5,307897,82000000,268268174,2010,227
The Expendables,103,Adventure,6.5,307897,82000000,268268174,2010,227
The Expendables,103,Thriller,6.5,307897,82000000,268268174,2010,227
Fantastic Beasts: The Crimes of Grindelwald,134,Adventure,6.6,163151,200000000,652220086,2018,226
Fantastic Beasts: The Crimes of Grindelwald,134,Family,6.6,163151,200000000,652220086,2018,226
Fantastic Beasts: The Crimes of Grindelwald,134,Fantasy,6.6,163151,200000000,652220086,2018,226
Due Date,95,Adventure,6.5,303523,65000000,211739043,2010,226
Due Date,95,Comedy,6.5,303523,65000000,211739043,2010,226
Divergent,139,Action,6.7,399703,85000000,276014965,2014,225
Divergent,139,Adventure,6.7,399703,85000000,276014965,2014,225
Divergent,139,Mystery,6.7,399703,85000000,276014965,2014,225
London Has Fallen,99,Action,5.9,124757,60000000,195194085,2016,225
London Has Fallen,99,Thriller,5.9,124757,60000000,195194085,2016,225
Earth to Echo,91,Adventure,5.8,17627,13000000,42174545,2014,224
Earth to Echo,91,Family,5.8,17627,13000000,42174545,2014,224
Earth to Echo,91,Sci-Fi,5.8,17627,13000000,42174545,2014,224
Prometheus,124,Adventure,7.0,538720,125000000,402448265,2012,222
Prometheus,124,Mystery,7.0,538720,125000000,402448265,2012,222
Prometheus,124,Sci-Fi,7.0,538720,125000000,402448265,2012,222
Son of God,138,Biography,5.8,17606,22000000,70949793,2014,222
Son of God,138,Drama,5.8,17606,22000000,70949793,2014,222
Son of God,138,History,5.8,17606,22000000,70949793,2014,222
War for the Planet of the Apes,140,Action,7.5,201943,152000000,489592267,2017,222
War for the Planet of the Apes,140,Adventure,7.5,201943,152000000,489592267,2017,222
War for the Planet of the Apes,140,Drama,7.5,201943,152000000,489592267,2017,222
Delivery Man,105,Comedy,6.4,70706,22000000,70536870,2013,221
Delivery Man,105,Drama,6.4,70706,22000000,70536870,2013,221
Enough Said,93,Comedy,7.0,55698,8000000,25621449,2013,220
Enough Said,93,Drama,7.0,55698,8000000,25621449,2013,220
Enough Said,93,Romance,7.0,55698,8000000,25621449,2013,220
Ted 2,115,Comedy,6.3,165843,68000000,217214143,2015,219
Predators,107,Action,6.4,199764,40000000,127234389,2010,218
Predators,107,Adventure,6.4,199764,40000000,127234389,2010,218
Predators,107,Sci-Fi,6.4,199764,40000000,127234389,2010,218
The Smurfs 2,105,Adventure,5.4,34229,110000000,348547523,2013,217
The Smurfs 2,105,Animation,5.4,34229,110000000,348547523,2013,217
The Smurfs 2,105,Comedy,5.4,34229,110000000,348547523,2013,217
Game Night,100,Action,7.0,163279,37000000,117378084,2018,217
Game Night,100,Comedy,7.0,163279,37000000,117378084,2018,217
Game Night,100,Crime,7.0,163279,37000000,117378084,2018,217
The Transporter Refueled,96,Action,5.2,36201,22000000,69698495,2015,217
The Transporter Refueled,96,Adventure,5.2,36201,22000000,69698495,2015,217
The Transporter Refueled,96,Crime,5.2,36201,22000000,69698495,2015,217
Knock Knock,99,Drama,4.9,68328,2000000,6328516,2015,216
Knock Knock,99,Thriller,4.9,68328,2000000,6328516,2015,216
Sex Tape,94,Comedy,5.1,100520,40000000,126069509,2014,215
Sex Tape,94,Romance,5.1,100520,40000000,126069509,2014,215
Dracula Untold,92,Action,6.3,164829,70000000,220241723,2014,215
Dracula Untold,92,Drama,6.3,164829,70000000,220241723,2014,215
Dracula Untold,92,Fantasy,6.3,164829,70000000,220241723,2014,215
Shame,101,Drama,7.2,171353,6500000,20412841,2011,214
42,128,Biography,7.5,77703,31000000,97470701,2013,214
42,128,Drama,7.5,77703,31000000,97470701,2013,214
42,128,Sport,7.5,77703,31000000,97470701,2013,214
Southpaw,124,Drama,7.4,199783,30000000,94156456,2015,214
Southpaw,124,Sport,7.4,199783,30000000,94156456,2015,214
The Star,86,Adventure,6.1,5159,20000000,62758010,2017,214
The Star,86,Animation,6.1,5159,20000000,62758010,2017,214
The Star,86,Comedy,6.1,5159,20000000,62758010,2017,214
Hell or High Water,102,Action,7.6,176469,12000000,37584304,2016,213
Hell or High Water,102,Crime,7.6,176469,12000000,37584304,2016,213
Hell or High Water,102,Drama,7.6,176469,12000000,37584304,2016,213
Pain & Gain,129,Action,6.4,187820,26000000,81275291,2013,213
Pain & Gain,129,Comedy,6.4,187820,26000000,81275291,2013,213
Pain & Gain,129,Crime,6.4,187820,26000000,81275291,2013,213
Ride Along 2,102,Action,5.9,48688,40000000,124827316,2016,212
Ride Along 2,102,Comedy,5.9,48688,40000000,124827316,2016,212
Ride Along 2,102,Crime,5.9,48688,40000000,124827316,2016,212
The Expendables 2,103,Action,6.6,277584,100000000,311979256,2012,212
The Expendables 2,103,Adventure,6.6,277584,100000000,311979256,2012,212
The Expendables 2,103,Thriller,6.6,277584,100000000,311979256,2012,212
Movie 43,94,Comedy,4.3,92980,10000000,31164747,2013,212
Neighbors 2: Sorority Rising,92,Comedy,5.7,102793,35000000,108757621,2016,211
Little Fockers,98,Comedy,5.5,99222,100000000,310650574,2010,211
Little Fockers,98,Romance,5.5,99222,100000000,310650574,2010,211
Sex and the City 2,146,Comedy,4.4,69199,95000000,294680778,2010,210
Sex and the City 2,146,Drama,4.4,69199,95000000,294680778,2010,210
Sex and the City 2,146,Romance,4.4,69199,95000000,294680778,2010,210
Grown Ups 2,101,Comedy,5.4,128500,80000000,247023808,2013,209
Why Him?,111,Comedy,6.2,89628,38000000,117425156,2016,209
When the Bough Breaks,107,Crime,5.1,4729,10000000,30768449,2016,208
When the Bough Breaks,107,Drama,5.1,4729,10000000,30768449,2016,208
When the Bough Breaks,107,Horror,5.1,4729,10000000,30768449,2016,208
Compliance,90,Biography,6.4,28703,270000,830700,2012,208
Compliance,90,Crime,6.4,28703,270000,830700,2012,208
Compliance,90,Drama,6.4,28703,270000,830700,2012,208
Water for Elephants,120,Drama,6.9,105812,38000000,116809717,2011,207
Water for Elephants,120,Romance,6.9,105812,38000000,116809717,2011,207
X-Men: Apocalypse,144,Action,7.0,356556,178000000,542537546,2016,205
X-Men: Apocalypse,144,Adventure,7.0,356556,178000000,542537546,2016,205
X-Men: Apocalypse,144,Sci-Fi,7.0,356556,178000000,542537546,2016,205
Tomb Raider,119,Action,6.3,163560,90000000,273477501,2018,204
Tomb Raider,119,Adventure,6.3,163560,90000000,273477501,2018,204
Tomb Raider,119,Fantasy,6.3,163560,90000000,273477501,2018,204
Why Did I Get Married Too?,121,Comedy,4.6,8653,20000000,60831067,2010,204
Why Did I Get Married Too?,121,Drama,4.6,8653,20000000,60831067,2010,204
Why Did I Get Married Too?,121,Romance,4.6,8653,20000000,60831067,2010,204
Men in Black 3,106,Action,6.8,309879,215000000,654213485,2012,204
